text
"FINE large Folio BIBLE, compleat, Oxford 1727."
"Ditto, with Maps, Notes, &c."
"Clarendon's History of the Rebellion, 3 Vols"
Bayley's universal etimologlcal Dictionary.
Marlorati Thesaurus Scripturae.
"Wiquefort's compleat Ambassador, translated by Digby, finely bound."
"Hobbes's Leviathan, very scarce."
"R. Barclay's Works, compleat."
D. Rogers's Lectures on Naaman the Syrian.
Bunny's Head Corner-Stone.
Sturmii Mathesis Compendiaria.
Brown's Vulgar Errors.
"Boccalini's Advice from Parnassus,"
"Bunyan's Works, 2 Vols. with fine Cuts."
"The Common Prayer, black Letter."
Astronomia Anglicana.
Culpepper's English Dispensatory.
History of Edward III.
Wood's Institutes of the Civil Law.
"Coke's Institutes, 4 Parts in 3 Vols. 3d Edition."
English Pilot for the Northern Navigation.
Sea Atlas of all the known Coasts of the World.
English Pilot for the West-Indies.
"Livii Opera omnia quae extant, cum Chronologia & No∣tis Glarianis. Basil 1555."
"Leeke and Serle's Euclid, with Dee's Preface."
Concordantia Bibliorum.
Carkess's Book of Rates; with all the Acts of Parliament relating to the Customs.
"Novum Testamentum Graecum, cum Interpretationibus Bezae & Castalionis."
Hooker's Ecclesiastical Polity.
"Hormi accuxatissima Orbis Delineatio, containing (besides an Introduction to Geography) 67 curious Maps of ancient Geo∣graphy, both sacred and profane."
"Cambden's Britannia, containing the History and Antiqui∣ties of England."
Lock on human Understanding.
"Herodotus, Graece & Latine, by T. Gale."
"Malyne's Merchants Law, 3d Edition."
"Domat's Civil and Publick Law, with additional Remarks by Strahan. 2 Vols."
Wingate's Maxims or Reasons of the Com. Law.
"Thesaurus Brevium, or Forms of Writs."
"Leonard's Reports, 4 Vols."
"Cases in Chancery, 2 Vols. with M. S. Notes."
"Ventris's Reports, 2 Vols. bound in one."
"Modern Reports, 2d; 3d, 4th and 6th Parts."
"Hobart's Reports, 3d Edit."
Montaign's Essays.
"Stapylton's Juvenal, with fine Cuts."
Monteth's History of the Troubles of Great-Brit. 2 Vol.
"Philips's New World of Words, being a compleat English Dictionary."
Minshew's Dictionary of nine Languages.
